# Differential expression analysis for study ERP0009481 contrast  across:sex. Values are log2 of fold change for genes found differentially expressed with adjusted p-value < 0.05
# R version: ‘3.5.1’
# DESeq2 version: ‘1.22.1’
# !Adult female vs Adult male: Adult male - low replicates (1)
	!Adult female vs Adult male
WBGene00226419	-2.55
WBGene00226421	-11.64
WBGene00226422	2.58
WBGene00226424	0.49
WBGene00226426	1.32
WBGene00226428	1.28
WBGene00226429	0.38
WBGene00226431	1.12
WBGene00226432	-6.33
WBGene00226433	-0.92
WBGene00226434	-1.04
WBGene00226435	1.41
WBGene00226440	2.47
WBGene00226443	1.50
WBGene00226444	3.94
WBGene00226445	0.92
WBGene00226446	3.50
WBGene00226447	-1.52
WBGene00226448	4.62
WBGene00226449	0.42
WBGene00226451	3.87
WBGene00226453	3.64
WBGene00226454	1.53
WBGene00226455	-5.58
WBGene00226458	-1.04
WBGene00226459	-0.75
WBGene00226460	-1.72
WBGene00226461	1.65
WBGene00226462	-2.18
WBGene00226464	-1.29
WBGene00226465	-0.34
WBGene00226468	2.15
WBGene00226469	-5.66
WBGene00226471	-1.98
WBGene00226472	1.21
WBGene00226473	-0.76
WBGene00226475	-1.41
WBGene00226476	2.87
WBGene00226479	-1.35
WBGene00226480	-1.84
WBGene00226481	-1.16
WBGene00226482	2.12
WBGene00226484	2.75
WBGene00226485	0.46
WBGene00226486	1.42
WBGene00226487	2.18
WBGene00226488	-1.04
WBGene00226489	-1.08
WBGene00226490	1.49
WBGene00226491	1.10
WBGene00226492	-0.66
WBGene00226493	1.71
WBGene00226495	2.44
WBGene00226497	2.50
WBGene00226498	-10.22
WBGene00226500	-1.33
WBGene00226501	0.91
WBGene00226502	-0.90
WBGene00226503	1.27
WBGene00226504	-0.80
WBGene00226507	1.51
WBGene00226508	-1.54
WBGene00226509	1.15
WBGene00226512	0.80
WBGene00226513	-1.71
WBGene00226514	-3.13
WBGene00226515	2.05
WBGene00226516	1.36
WBGene00226518	2.79
WBGene00226519	-1.47
WBGene00226521	-2.30
WBGene00226522	-0.41
WBGene00226523	1.20
WBGene00226524	-2.71
WBGene00226525	-2.18
WBGene00226527	-1.08
WBGene00226528	-0.64
WBGene00226530	2.42
WBGene00226532	0.44
WBGene00226533	2.78
WBGene00226535	1.18
WBGene00226536	-2.12
WBGene00226537	-4.52
WBGene00226541	-9.17
WBGene00226542	-2.32
WBGene00226543	-3.26
WBGene00226544	1.02
WBGene00226546	0.79
WBGene00226547	-1.36
WBGene00226548	-1.84
WBGene00226549	1.30
WBGene00226552	-3.81
WBGene00226556	4.22
WBGene00226557	1.84
WBGene00226558	-3.05
WBGene00226560	0.38
WBGene00226561	-1.28
WBGene00226562	1.12
WBGene00226563	1.14
WBGene00226564	-1.40
WBGene00226566	-2.64
WBGene00226567	0.47
WBGene00226568	-0.44
WBGene00226569	0.91
WBGene00226571	-0.65
WBGene00226572	-1.27
WBGene00226573	0.69
WBGene00226574	0.68
WBGene00226575	-4.24
WBGene00226577	-2.01
WBGene00226578	0.81
WBGene00226580	2.07
WBGene00226581	-1.51
WBGene00226582	-0.75
WBGene00226585	-0.37
WBGene00226588	-0.54
WBGene00226589	-3.65
WBGene00226590	1.40
WBGene00226593	-1.55
WBGene00226594	-0.87
WBGene00226596	-6.87
WBGene00226599	-0.77
WBGene00226600	1.11
WBGene00226602	-2.44
WBGene00226603	-4.48
WBGene00226604	2.33
WBGene00226608	-1.50
WBGene00226609	0.59
WBGene00226610	-0.75
WBGene00226613	1.24
WBGene00226614	-0.57
WBGene00226615	1.10
WBGene00226616	0.70
WBGene00226617	-0.82
WBGene00226621	1.37
WBGene00226622	-0.72
WBGene00226623	-1.93
WBGene00226624	-0.74
WBGene00226625	-0.59
WBGene00226627	1.50
WBGene00226629	-1.41
WBGene00226630	0.93
WBGene00226631	-1.57
WBGene00226632	1.23
WBGene00226633	0.47
WBGene00226634	5.75
WBGene00226635	0.97
WBGene00226637	-1.47
WBGene00226638	1.88
WBGene00226639	1.42
WBGene00226640	-1.61
WBGene00226641	1.16
WBGene00226643	2.06
WBGene00226644	-0.70
WBGene00226645	-1.25
WBGene00226646	-2.52
WBGene00226647	-1.79
WBGene00226649	1.28
WBGene00226650	1.36
WBGene00226652	-2.90
WBGene00226653	-4.76
WBGene00226654	-1.66
WBGene00226655	-4.87
WBGene00226656	1.41
WBGene00226661	-8.35
WBGene00226662	1.62
WBGene00226663	-1.22
WBGene00226664	0.94
WBGene00226665	-6.52
WBGene00226667	1.26
WBGene00226668	1.70
WBGene00226670	-1.57
WBGene00226672	1.72
WBGene00226673	-0.71
WBGene00226674	-0.73
WBGene00226675	-4.02
WBGene00226676	2.82
WBGene00226677	4.89
WBGene00226678	-1.31
WBGene00226679	-1.48
WBGene00226680	1.51
WBGene00226681	-1.36
WBGene00226682	-1.50
WBGene00226683	0.44
WBGene00226684	1.00
WBGene00226685	-1.49
WBGene00226689	5.43
WBGene00226690	-2.52
WBGene00226691	-2.18
WBGene00226692	1.70
WBGene00226694	-1.61
WBGene00226695	-1.35
WBGene00226696	-0.68
WBGene00226697	-0.90
WBGene00226699	0.91
WBGene00226705	-1.04
WBGene00226707	-2.02
WBGene00226708	2.18
WBGene00226709	-0.75
WBGene00226711	2.11
WBGene00226713	0.91
WBGene00226714	0.46
WBGene00226716	-1.22
WBGene00226717	-0.63
WBGene00226718	-2.46
WBGene00226719	-0.76
WBGene00226721	-3.64
WBGene00226722	-2.04
WBGene00226724	2.90
WBGene00226728	-1.03
WBGene00226729	3.32
WBGene00226730	1.23
WBGene00226731	1.12
WBGene00226732	1.97
WBGene00226733	1.86
WBGene00226734	0.93
WBGene00226735	-1.68
WBGene00226737	-3.52
WBGene00226741	1.92
WBGene00226743	0.82
WBGene00226744	-1.17
WBGene00226747	-0.69
WBGene00226748	-4.37
WBGene00226749	0.55
WBGene00226750	-1.22
WBGene00226751	3.40
WBGene00226753	-1.01
WBGene00226756	2.95
WBGene00226759	-1.07
WBGene00226760	3.42
WBGene00226761	-4.01
WBGene00226762	2.40
WBGene00226764	-0.66
WBGene00226766	-2.57
WBGene00226768	1.76
WBGene00226772	0.48
WBGene00226773	1.54
WBGene00226774	-1.47
WBGene00226776	-2.59
WBGene00226777	-0.75
WBGene00226778	0.44
WBGene00226779	0.80
WBGene00226780	0.53
WBGene00226781	5.20
WBGene00226782	1.55
WBGene00226783	0.69
WBGene00226785	2.06
WBGene00226786	-9.06
WBGene00226787	-1.34
WBGene00226788	-0.44
WBGene00226790	0.94
WBGene00226791	1.85
WBGene00226795	-3.42
WBGene00226796	1.78
WBGene00226798	-1.70
WBGene00226802	-0.99
WBGene00226803	-1.89
WBGene00226804	-1.63
WBGene00226805	-0.49
WBGene00226811	1.30
WBGene00226812	-1.25
WBGene00226817	1.42
WBGene00226818	1.08
WBGene00226819	1.37
WBGene00226824	-5.49
WBGene00226825	-3.34
WBGene00226826	-1.59
WBGene00226830	1.38
WBGene00226831	-1.59
WBGene00226832	-0.70
WBGene00226833	0.85
WBGene00226835	-0.54
WBGene00226836	1.13
WBGene00226838	-0.61
WBGene00226839	0.82
WBGene00226840	0.63
WBGene00226841	-0.91
WBGene00226842	1.05
WBGene00226843	-2.53
WBGene00226844	0.89
WBGene00226846	0.90
WBGene00226847	0.93
WBGene00226848	3.19
WBGene00226849	-1.82
WBGene00226850	-3.14
WBGene00226853	1.54
WBGene00226855	0.52
WBGene00226856	-3.91
WBGene00226857	1.43
WBGene00226858	2.38
WBGene00226860	-9.82
WBGene00226863	3.34
WBGene00226864	-1.07
WBGene00226868	-2.56
WBGene00226870	-8.79
WBGene00226871	0.75
WBGene00226872	-0.76
WBGene00226873	4.02
WBGene00226874	-1.32
WBGene00226875	-2.65
WBGene00226876	0.50
WBGene00226878	0.74
WBGene00226880	0.88
WBGene00226883	-1.80
WBGene00226884	-0.70
WBGene00226885	2.19
WBGene00226887	0.56
WBGene00226889	1.54
WBGene00226890	-0.49
WBGene00226892	-2.03
WBGene00226893	0.79
WBGene00226895	-1.39
WBGene00226899	1.96
WBGene00226902	1.08
WBGene00226903	-1.56
WBGene00226904	5.36
WBGene00226907	2.30
WBGene00226908	-2.01
WBGene00226911	-0.68
WBGene00226912	1.41
WBGene00226913	-2.18
WBGene00226918	2.51
WBGene00226919	1.15
WBGene00226920	-0.62
WBGene00226921	-0.87
WBGene00226923	0.74
WBGene00226924	0.45
WBGene00226925	0.86
WBGene00226927	0.54
WBGene00226929	-6.94
WBGene00226930	1.16
WBGene00226931	0.71
WBGene00226932	-1.02
WBGene00226934	2.18
WBGene00226935	-0.84
WBGene00226940	3.97
WBGene00226942	1.28
WBGene00226943	1.43
WBGene00226944	-1.10
WBGene00226949	3.54
WBGene00226950	-8.26
WBGene00226951	-2.58
WBGene00226952	-0.70
WBGene00226953	-0.60
WBGene00226954	0.46
WBGene00226956	-2.72
WBGene00226957	0.54
WBGene00226958	1.18
WBGene00226960	1.66
WBGene00226961	-1.99
WBGene00226962	0.85
WBGene00226963	-1.58
WBGene00226968	-2.79
WBGene00226969	2.05
WBGene00226970	0.73
WBGene00226976	-0.89
WBGene00226978	2.28
WBGene00226979	-1.41
WBGene00226980	2.17
WBGene00226981	-0.71
WBGene00226983	0.93
WBGene00226984	1.41
WBGene00226985	1.13
WBGene00226987	-1.41
WBGene00226989	4.38
WBGene00226990	1.54
WBGene00226991	-1.33
WBGene00226994	-1.52
WBGene00226995	1.65
WBGene00226996	0.44
WBGene00226997	1.10
WBGene00226999	1.77
WBGene00227001	-0.92
WBGene00227002	-0.93
WBGene00227005	0.59
WBGene00227006	-1.09
WBGene00227008	1.91
WBGene00227009	-1.75
WBGene00227011	0.52
WBGene00227012	-3.59
WBGene00227014	0.63
WBGene00227016	-10.29
WBGene00227017	-4.30
WBGene00227019	1.60
WBGene00227020	-0.47
WBGene00227021	-0.79
WBGene00227022	3.60
WBGene00227023	2.31
WBGene00227024	-9.17
WBGene00227025	-1.32
WBGene00227026	0.83
WBGene00227027	-1.71
WBGene00227028	-0.70
WBGene00227029	-0.52
WBGene00227030	0.98
WBGene00227033	0.74
WBGene00227034	2.97
WBGene00227035	-2.25
WBGene00227036	2.42
WBGene00227038	-5.78
WBGene00227039	-1.37
WBGene00227041	0.56
WBGene00227043	-1.68
WBGene00227045	-0.84
WBGene00227048	1.06
WBGene00227051	-1.98
WBGene00227052	-1.37
WBGene00227053	-1.45
WBGene00227054	-1.56
WBGene00227057	-0.46
WBGene00227058	-1.13
WBGene00227059	0.56
WBGene00227060	0.77
WBGene00227062	-3.11
WBGene00227063	-0.64
WBGene00227065	1.38
WBGene00227066	-0.48
WBGene00227067	-2.00
WBGene00227071	2.57
WBGene00227072	-1.34
WBGene00227074	-2.24
WBGene00227075	-0.45
WBGene00227076	-0.53
WBGene00227077	1.13
WBGene00227078	-0.85
WBGene00227082	1.88
WBGene00227083	2.13
WBGene00227084	-1.34
WBGene00227085	-0.74
WBGene00227087	-1.21
WBGene00227089	-0.54
WBGene00227090	-1.63
WBGene00227091	-2.10
WBGene00227092	-1.72
WBGene00227094	-1.56
WBGene00227098	0.79
WBGene00227099	-0.85
WBGene00227100	-2.22
WBGene00227102	0.77
WBGene00227105	2.78
WBGene00227108	1.97
WBGene00227109	-1.81
WBGene00227110	1.11
WBGene00227112	1.20
WBGene00227115	-1.80
WBGene00227116	0.49
WBGene00227117	1.16
WBGene00227118	1.48
WBGene00227119	-1.32
WBGene00227120	-0.98
WBGene00227121	0.90
WBGene00227124	0.82
WBGene00227125	-0.50
WBGene00227126	-2.84
WBGene00227128	-1.04
WBGene00227129	2.21
WBGene00227131	-0.40
WBGene00227136	-1.19
WBGene00227137	0.89
WBGene00227138	-1.49
WBGene00227139	0.37
WBGene00227140	-0.67
WBGene00227142	0.68
WBGene00227143	1.05
WBGene00227146	-3.52
WBGene00227147	-1.37
WBGene00227148	-1.34
WBGene00227149	-2.13
WBGene00227150	1.49
WBGene00227151	0.55
WBGene00227152	-1.50
WBGene00227153	-0.64
WBGene00227155	-0.56
WBGene00227159	-0.84
WBGene00227160	-1.02
WBGene00227161	-2.56
WBGene00227162	2.19
WBGene00227163	0.85
WBGene00227164	-1.11
WBGene00227165	0.82
WBGene00227166	1.27
WBGene00227167	-2.21
WBGene00227168	-1.23
WBGene00227170	-1.59
WBGene00227172	2.28
WBGene00227173	2.04
WBGene00227174	3.40
WBGene00227176	-1.36
WBGene00227178	0.75
WBGene00227179	-3.14
WBGene00227180	-3.42
WBGene00227181	1.38
WBGene00227183	-2.11
WBGene00227184	2.08
WBGene00227186	1.95
WBGene00227187	1.25
WBGene00227189	2.38
WBGene00227190	-1.25
WBGene00227191	1.32
WBGene00227192	-2.29
WBGene00227194	2.06
WBGene00227195	-0.90
WBGene00227196	1.80
WBGene00227197	1.33
WBGene00227198	-5.41
WBGene00227199	-1.74
WBGene00227200	2.12
WBGene00227201	-0.55
WBGene00227202	-1.41
WBGene00227203	-1.53
WBGene00227204	-0.93
WBGene00227205	-2.72
WBGene00227207	1.18
WBGene00227209	-1.67
WBGene00227210	0.47
WBGene00227211	-0.61
WBGene00227212	-2.07
WBGene00227215	-3.00
WBGene00227216	-0.62
WBGene00227218	-1.59
WBGene00227219	-1.80
WBGene00227221	2.44
WBGene00227222	0.57
WBGene00227223	-3.43
WBGene00227225	-1.23
WBGene00227226	0.78
WBGene00227227	-3.21
WBGene00227229	5.21
WBGene00227230	0.45
WBGene00227232	0.83
WBGene00227236	0.35
WBGene00227238	3.29
WBGene00227240	1.42
WBGene00227243	-2.27
WBGene00227244	-2.58
WBGene00227245	0.94
WBGene00227246	-1.81
WBGene00227248	0.65
WBGene00227249	3.06
WBGene00227250	1.33
WBGene00227251	-1.91
WBGene00227252	-3.05
WBGene00227253	1.06
WBGene00227254	-1.91
WBGene00227255	-2.92
WBGene00227256	3.33
WBGene00227257	-0.97
WBGene00227259	-2.29
WBGene00227260	1.01
WBGene00227264	-2.79
WBGene00227265	0.53
WBGene00227267	-1.52
WBGene00227270	1.34
WBGene00227271	-1.41
WBGene00227272	1.26
WBGene00227273	1.80
WBGene00227275	1.33
WBGene00227278	-1.95
WBGene00227280	-6.05
WBGene00227282	-0.82
WBGene00227283	-0.82
WBGene00227284	0.71
WBGene00227288	0.73
WBGene00227289	0.95
WBGene00227290	1.41
WBGene00227291	1.40
WBGene00227292	-6.52
WBGene00227294	-0.98
WBGene00227295	-1.50
WBGene00227296	-3.00
WBGene00227297	0.57
WBGene00227299	-1.04
WBGene00227300	-1.36
WBGene00227301	1.04
WBGene00227302	-0.60
WBGene00227303	-0.48
WBGene00227305	4.72
WBGene00227306	-2.11
WBGene00227309	-1.08
WBGene00227311	0.48
WBGene00227313	0.61
WBGene00227315	0.50
WBGene00227317	1.12
WBGene00227321	1.08
WBGene00227322	0.70
WBGene00227323	2.28
WBGene00227325	-1.28
WBGene00227326	-1.07
WBGene00227327	-0.62
WBGene00227328	-1.75
WBGene00227329	-4.42
WBGene00227330	-2.99
WBGene00227331	1.07
WBGene00227333	-1.53
WBGene00227335	-0.45
WBGene00227338	1.69
WBGene00227339	-1.26
WBGene00227344	1.59
WBGene00227345	-0.50
WBGene00227350	-4.48
WBGene00227351	-1.41
WBGene00227352	0.63
WBGene00227353	-1.14
WBGene00227354	1.11
WBGene00227355	0.39
WBGene00227356	1.49
WBGene00227357	1.47
WBGene00227358	-1.96
WBGene00227359	-0.84
WBGene00227361	-0.81
WBGene00227362	-2.41
WBGene00227364	1.21
WBGene00227365	0.73
WBGene00227366	-2.19
WBGene00227367	2.86
WBGene00227369	0.96
WBGene00227371	0.81
WBGene00227372	0.80
WBGene00227374	-0.76
WBGene00227381	2.15
WBGene00227382	-1.23
WBGene00227384	2.57
WBGene00227386	-0.95
WBGene00227387	-3.54
WBGene00227389	1.75
WBGene00227390	-2.05
WBGene00227391	2.09
WBGene00227393	-3.69
WBGene00227395	2.49
WBGene00227397	0.31
WBGene00227398	1.61
WBGene00227399	-2.40
WBGene00227402	-1.08
WBGene00227403	-0.40
WBGene00227404	1.13
WBGene00227405	-2.93
WBGene00227407	-0.54
WBGene00227408	1.89
WBGene00227409	-0.88
WBGene00227410	1.12
WBGene00227411	-1.72
WBGene00227412	1.24
WBGene00227413	1.89
WBGene00227414	-1.81
WBGene00227415	-1.38
WBGene00227416	0.75
WBGene00227417	0.52
WBGene00227418	1.44
WBGene00227419	-0.36
WBGene00227420	2.25
WBGene00227421	-2.06
WBGene00227422	-0.74
WBGene00227423	0.84
WBGene00227424	1.84
WBGene00227425	-3.08
WBGene00227426	-1.20
WBGene00227429	0.72
WBGene00227431	-0.92
WBGene00227432	2.30
WBGene00227433	2.05
WBGene00227435	-0.66
WBGene00227436	-1.76
WBGene00227437	-1.10
WBGene00227441	1.63
WBGene00227442	-2.49
WBGene00227443	1.53
WBGene00227444	1.14
WBGene00227448	-0.57
WBGene00227449	1.10
WBGene00227450	0.50
WBGene00227452	-0.74
WBGene00227453	-1.25
WBGene00227454	3.02
WBGene00227455	-0.38
WBGene00227456	0.92
WBGene00227458	1.97
WBGene00227459	-1.22
WBGene00227460	-1.84
WBGene00227461	0.99
WBGene00227462	-1.29
WBGene00227463	1.86
WBGene00227464	2.19
WBGene00227465	1.05
WBGene00227468	-7.24
WBGene00227469	-2.34
WBGene00227471	0.65
WBGene00227472	-1.38
WBGene00227474	1.57
WBGene00227477	-0.76
WBGene00227478	1.56
WBGene00227479	-2.39
WBGene00227480	-0.96
WBGene00227482	1.99
WBGene00227483	0.84
WBGene00227484	-1.86
WBGene00227485	0.78
WBGene00227486	1.11
WBGene00227488	0.54
WBGene00227491	0.72
WBGene00227492	-1.84
WBGene00227494	0.75
WBGene00227498	-2.92
WBGene00227499	-0.48
WBGene00227500	-0.78
WBGene00227502	2.27
WBGene00227505	-1.32
WBGene00227506	1.57
WBGene00227507	-1.31
WBGene00227508	1.21
WBGene00227511	-1.80
WBGene00227514	-0.74
WBGene00227515	1.77
WBGene00227516	0.42
WBGene00227517	-3.31
WBGene00227519	1.29
WBGene00227522	1.15
WBGene00227523	-1.44
WBGene00227524	0.73
WBGene00227525	2.08
WBGene00227526	-1.92
WBGene00227527	-2.91
WBGene00227528	-1.09
WBGene00227529	0.36
WBGene00227530	1.21
WBGene00227535	1.24
WBGene00227536	1.12
WBGene00227538	-1.03
WBGene00227539	0.50
WBGene00227540	0.79
WBGene00227542	1.94
WBGene00227543	1.39
WBGene00227544	0.66
WBGene00227545	0.76
WBGene00227548	0.51
WBGene00227549	1.41
WBGene00227550	-1.32
WBGene00227551	0.76
WBGene00227556	1.78
WBGene00227558	-2.84
WBGene00227559	8.78
WBGene00227560	2.57
WBGene00227561	1.97
WBGene00227563	2.23
WBGene00227565	3.55
WBGene00227567	2.32
WBGene00227568	-2.82
WBGene00227569	-1.71
WBGene00227570	-0.79
WBGene00227573	-2.49
WBGene00227574	-6.94
WBGene00227575	-4.07
WBGene00227576	-1.46
WBGene00227577	-1.47
WBGene00227578	-2.35
WBGene00227579	2.15
WBGene00227580	0.51
WBGene00227581	1.91
WBGene00227583	-9.31
WBGene00227584	0.68
WBGene00227585	-4.08
WBGene00227586	1.03
WBGene00227587	-1.57
WBGene00227588	-1.38
WBGene00227589	1.35
WBGene00227590	2.35
WBGene00227593	2.01
WBGene00227594	1.13
WBGene00227595	-2.14
WBGene00227597	-4.76
WBGene00227598	-1.17
WBGene00227600	-1.63
WBGene00227601	-1.10
WBGene00227606	-1.64
WBGene00227611	-0.36
WBGene00227612	0.75
WBGene00227613	0.93
WBGene00227614	-1.98
WBGene00227618	0.61
WBGene00227621	-1.23
WBGene00227622	2.45
WBGene00227625	1.32
WBGene00227627	-0.63
WBGene00227628	-0.52
WBGene00227629	-0.59
WBGene00227630	-2.39
WBGene00227631	-3.82
WBGene00227632	-1.78
WBGene00227633	1.28
WBGene00227635	-1.60
WBGene00227642	-1.04
WBGene00227643	-0.81
WBGene00227644	0.41
WBGene00227646	0.77
WBGene00227647	3.90
WBGene00227648	-1.19
WBGene00227649	-1.25
WBGene00227652	-1.22
WBGene00227655	-3.06
WBGene00227659	-1.04
WBGene00227660	1.76
WBGene00227661	2.43
WBGene00227665	3.16
WBGene00227668	3.84
WBGene00227669	5.97
WBGene00227670	1.02
WBGene00227673	-5.31
WBGene00227678	0.92
WBGene00227679	1.20
WBGene00227680	1.26
WBGene00227683	-2.42
WBGene00227684	0.78
WBGene00227686	2.19
WBGene00227688	2.16
WBGene00227690	-4.85
WBGene00227691	-3.10
WBGene00227692	-1.88
WBGene00227694	-1.17
WBGene00227695	1.46
WBGene00227696	1.26
WBGene00227699	-4.63
WBGene00227700	-2.96
WBGene00227701	-1.16
WBGene00227702	-2.73
WBGene00227703	0.79
WBGene00227705	-1.03
WBGene00227707	1.26
WBGene00227708	-1.18
WBGene00227714	0.50
WBGene00227716	-1.91
WBGene00227718	-1.30
WBGene00227722	-1.57
WBGene00227724	-0.60
WBGene00227726	1.61
WBGene00227727	3.17
WBGene00227728	1.98
WBGene00227729	-0.88
WBGene00227730	-2.06
WBGene00227733	-1.62
WBGene00227735	-1.80
WBGene00227736	-3.86
WBGene00227738	-2.36
WBGene00227739	-1.38
WBGene00227740	3.72
WBGene00227741	0.57
WBGene00227742	-0.88
WBGene00227743	-3.24
WBGene00227744	1.35
WBGene00227748	-6.14
WBGene00227750	1.15
WBGene00227752	-3.49
WBGene00227754	-0.79
WBGene00227756	2.33
WBGene00227758	-0.66
WBGene00227759	-0.79
WBGene00227763	-1.32
WBGene00227765	1.81
WBGene00227766	0.42
WBGene00227767	-0.48
WBGene00227768	1.39
WBGene00227769	-3.43
WBGene00227771	-1.66
WBGene00227772	-0.56
WBGene00227773	0.44
WBGene00227775	-3.15
WBGene00227777	1.71
WBGene00227780	7.31
WBGene00227781	-1.23
WBGene00227782	-2.08
WBGene00227784	0.56
WBGene00227785	-3.99
WBGene00227787	-1.48
WBGene00227788	-1.49
WBGene00227790	-2.05
WBGene00227792	-1.11
WBGene00227793	-2.47
WBGene00227795	1.47
WBGene00227796	-0.73
WBGene00227798	-1.43
WBGene00227801	-1.56
WBGene00227803	0.40
WBGene00227804	-0.67
WBGene00227805	-2.35
WBGene00227808	-6.03
WBGene00227811	-0.41
WBGene00227812	0.95
WBGene00227813	-1.73
WBGene00227814	0.81
WBGene00227816	-1.48
WBGene00227818	3.04
WBGene00227819	-1.30
WBGene00227821	-1.71
WBGene00227823	-2.77
WBGene00227825	-4.66
WBGene00227826	1.04
WBGene00227827	0.97
WBGene00227828	-1.17
WBGene00227829	-0.94
WBGene00227830	-5.61
WBGene00227831	2.07
WBGene00227833	-0.82
WBGene00227834	-1.08
WBGene00227836	0.82
WBGene00227837	2.55
WBGene00227838	2.91
WBGene00227840	-2.91
WBGene00227841	0.64
WBGene00227843	0.50
WBGene00227844	2.18
WBGene00227845	2.14
WBGene00227847	-0.75
WBGene00227848	-2.30
WBGene00227852	-2.66
WBGene00227853	2.75
WBGene00227856	-7.83
WBGene00227857	-1.76
WBGene00227859	-2.36
WBGene00227861	-0.84
WBGene00227862	-0.73
WBGene00227863	-1.82
WBGene00227864	4.28
WBGene00227865	-2.12
WBGene00227868	-0.47
WBGene00227869	3.92
WBGene00227872	-0.73
WBGene00227873	0.47
WBGene00227875	1.52
WBGene00227876	-2.32
WBGene00227878	3.07
WBGene00227879	2.17
WBGene00227880	-0.87
WBGene00227881	0.99
WBGene00227883	1.32
WBGene00227888	-1.79
WBGene00227889	1.23
WBGene00227892	-1.57
WBGene00227894	0.38
WBGene00227896	2.33
WBGene00227897	1.78
WBGene00227898	0.88
WBGene00227899	0.66
WBGene00227901	0.99
WBGene00227902	-2.26
WBGene00227903	1.49
WBGene00227904	-1.04
WBGene00227905	0.38
WBGene00227907	0.91
WBGene00227909	-1.13
WBGene00227910	-1.33
WBGene00227911	-0.71
WBGene00227918	-4.85
WBGene00227920	2.09
WBGene00227921	-12.49
WBGene00227923	0.92
WBGene00227925	0.39
WBGene00227926	1.29
WBGene00227929	-1.47
WBGene00227930	-3.55
WBGene00227931	1.24
WBGene00227932	-2.21
WBGene00227933	-3.50
WBGene00227934	-1.68
WBGene00227939	4.70
WBGene00227940	-2.50
WBGene00227944	-11.47
WBGene00227946	-8.60
WBGene00227947	-7.68
WBGene00227948	-4.34
WBGene00227951	-10.38
WBGene00227952	-9.57
WBGene00227953	-0.51
WBGene00227955	-7.77
WBGene00227957	1.27
WBGene00227960	4.21
WBGene00227965	1.21
WBGene00227966	0.61
WBGene00227972	1.86
WBGene00227973	1.71
WBGene00227980	0.98
WBGene00227987	-1.43
WBGene00227988	2.15
WBGene00227990	2.03
WBGene00227991	0.80
WBGene00227992	-0.57
WBGene00227995	1.72
WBGene00228000	-2.25
WBGene00228003	-1.41
WBGene00228004	2.80
WBGene00228005	2.15
WBGene00228006	1.57
WBGene00228007	1.60
WBGene00228011	1.93
WBGene00228013	-0.57
WBGene00228014	-2.33
WBGene00228022	0.75
WBGene00228025	-5.09
WBGene00228026	2.86
WBGene00228029	-3.76
WBGene00228031	-0.98
WBGene00228040	-7.49
WBGene00228041	0.81
WBGene00228044	4.81
WBGene00228045	1.16
WBGene00228047	2.55
WBGene00228048	-4.80
WBGene00228058	-4.95
WBGene00228066	1.15
WBGene00228071	-0.59
WBGene00228074	0.92
WBGene00228076	-2.97
WBGene00228078	5.15
WBGene00228080	3.00
WBGene00228084	-2.15
WBGene00228085	-2.11
WBGene00228087	-1.20
WBGene00228089	-5.24
WBGene00228090	-8.29
WBGene00228094	-1.44
WBGene00228096	-2.54
WBGene00228097	-7.31
WBGene00228098	-2.83
WBGene00228099	0.67
WBGene00228100	-1.97
WBGene00228104	1.87
WBGene00228105	-6.69
WBGene00228107	-11.42
WBGene00228108	-10.59
WBGene00228110	3.85
WBGene00228114	-1.82
WBGene00228117	-5.39
WBGene00228122	-9.31
WBGene00228125	-3.47
WBGene00228127	-2.71
WBGene00228129	-1.59
WBGene00228130	-3.72
WBGene00228134	-0.89
WBGene00228135	5.35
WBGene00228141	-0.68
WBGene00228144	4.16
WBGene00228145	-8.82
WBGene00228148	0.70
WBGene00228154	1.18
WBGene00228157	-2.15
WBGene00228158	-2.68
WBGene00228159	1.72
WBGene00228162	1.92
WBGene00228163	-6.57
WBGene00228164	-10.26
WBGene00228169	1.11
WBGene00228173	-6.91
WBGene00228176	2.11
WBGene00228185	2.24
WBGene00228187	2.96
WBGene00228189	2.06
WBGene00228190	1.03
WBGene00228192	3.60
WBGene00228198	0.58
WBGene00228201	-1.07
WBGene00228202	-2.45
WBGene00228203	3.18
WBGene00228204	1.62
WBGene00228205	4.13
WBGene00228210	6.15
WBGene00228212	3.94
WBGene00228217	2.04
WBGene00228218	-1.98
WBGene00228220	1.62
WBGene00228228	-8.27
WBGene00228230	0.96
WBGene00228231	-9.06
WBGene00228233	-1.56
WBGene00228240	-8.35
WBGene00228241	-1.22
WBGene00228243	2.62
WBGene00228244	-0.68
WBGene00228249	-1.84
WBGene00228252	-3.51
WBGene00228258	1.94
WBGene00228261	-2.16
WBGene00228262	-11.07
WBGene00228264	3.01
WBGene00228265	-3.68
WBGene00228266	-2.87
WBGene00228269	-2.13
WBGene00228273	3.50
WBGene00228278	-0.58
WBGene00228279	-0.50
WBGene00228281	-1.46
WBGene00228283	-0.68
WBGene00228285	4.74
WBGene00228286	1.80
WBGene00228289	-0.75
WBGene00228290	-3.08
WBGene00228291	-2.85
WBGene00228294	2.25
WBGene00228298	-1.59
WBGene00228304	-0.91
WBGene00228310	8.10
WBGene00228311	-1.39
WBGene00228315	3.17
WBGene00228317	1.72
WBGene00228318	-4.50
WBGene00228319	1.68
WBGene00228322	-2.57
WBGene00228325	0.68
WBGene00228327	1.11
WBGene00228328	-0.98
